dur,full_data,id,net_family,net_type,normalized,optimizer,pretrained,train_acc,train_f1,train_loss,train_precision,train_recall,train_roc_auc,valid_acc,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc,x,epoch,result
651.9467887878417,full data,HCDEX-74,DenseNet,DenseNet201,not normalized,Adam,not pretrained,0.975747074196114,0.96997277925878,0.06774924597392339,0.9732106310604244,0.96675640054962,0.9967661767881394,0.9765481195318714,0.9709475817803052,NA,0.9728098381000734,0.969092441697106,0.9753512570942608,30,30,best_valid_acc
651.9467887878417,full data,HCDEX-74,DenseNet,DenseNet201,not normalized,Adam,not pretrained,0.975747074196114,0.96997277925878,0.06774924597392339,0.9732106310604244,0.96675640054962,0.9967661767881394,0.9765481195318714,0.9709475817803052,NA,0.9728098381000734,0.969092441697106,0.9753512570942608,30,30,best_valid_f1
250.38702964782715,full data,HCDEX-54,DenseNet,DenseNet121,not normalized,Adam,not pretrained,0.9725031246449268,0.9659351642009544,0.07710390705456552,0.9697710570944036,0.9621294972098372,0.9957883360564194,0.9747074196114078,0.9685282058532446,NA,0.9747296528173022,0.9624051699915708,0.9727325353963956,30,30,best_valid_precision
435.2131233215332,full data,HCDEX-84,DenseNet,DenseNet201,not normalized,Adam,not pretrained,0.9748948983070106,0.9689041510389912,0.07085934196274066,0.9725655840761722,0.9652701831132048,0.9963873038916764,0.9719350073855244,0.9656572397875476,NA,0.9557965429924034,0.9757235178420904,0.9725431782266538,30,30,best_valid_recall
696.8955364227295,full data,HCDEX-293,ResNet,ResNet34,not normalized,Adam,pretrained,0.9799397795705034,0.9751818661043752,0.05571321829846164,0.9772631223058068,0.9731094558767832,0.9977850538018528,0.9710714691512328,0.9642907234424528,0.08266196571889013,0.9644801077380618,0.9641014135068432,0.9953014307622186,30,30,best_valid_roc_auc
408.3020701408386,full data,HCDEX-61,ResNet,ResNet152_96,not normalized,Adam,not pretrained,0.9496988978525168,0.9374991176179922,0.13477245300810128,0.9440432186522604,0.9310451193180224,0.987731502044922,0.9349392114532441,0.9167224177550248,NA,0.9501929570670524,0.8855296431581905,0.9270074770541048,30,30,worst_valid_acc
408.3020701408386,full data,HCDEX-61,ResNet,ResNet152_96,not normalized,Adam,not pretrained,0.9496988978525168,0.9374991176179922,0.13477245300810128,0.9440432186522604,0.9310451193180224,0.987731502044922,0.9349392114532441,0.9167224177550248,NA,0.9501929570670524,0.8855296431581905,0.9270074770541048,30,30,worst_valid_f1
426.1918849945069,full data,HCDEX-102,ResNet,ResNet152_96,not normalized,Adam,not pretrained,0.9618736507215088,0.9526250026472394,0.1058144624626592,0.9593090211132438,0.9460334819550771,0.9922039282621132,0.939347801386206,0.9281425840669842,NA,0.8908931155675005,0.9686428772127,0.944050549632676,30,30,worst_valid_precision
408.3020701408386,full data,HCDEX-61,ResNet,ResNet152_96,not normalized,Adam,not pretrained,0.9496988978525168,0.9374991176179922,0.13477245300810128,0.9440432186522604,0.9310451193180224,0.987731502044922,0.9349392114532441,0.9167224177550248,NA,0.9501929570670524,0.8855296431581905,0.9270074770541048,30,30,worst_valid_recall
408.3020701408386,full data,HCDEX-61,ResNet,ResNet152_96,not normalized,Adam,not pretrained,0.9496988978525168,0.9374991176179922,0.13477245300810128,0.9440432186522604,0.9310451193180224,0.987731502044922,0.9349392114532441,0.9167224177550248,NA,0.9501929570670524,0.8855296431581905,0.9270074770541048,30,30,worst_valid_roc_auc
